sensor,product,scene_id,epoch,acquired_utc,acquired_local,capture_start,capture_end,date_precision,relative_orbit,orbit_direction,polarizations,burst_id,cloud_cover_pct,valid_pixel_count,valid_fraction,coverage_fraction,footprint,source_url,asset_urls,source_group,tile_id,vertical_datum,native_resolution_m,processing_signature,flags
sentinel2,SR,COPERNICUS/S2_SR_HARMONIZED/20230209T221601_20230209T221603_T60HVB,pre,2023-02-09T22:16:56.895000+00:00,2023-02-10T11:16:56.895000+13:00,,,,,,,,38.072139,1460860.6823529403,0.5468122532713938,0.9999999999999984,"{""type"": ""Polygon"", ""coordinates"": [[[175.84714293159237, -38.84275705980832], [175.8471418381438, -38.84276832900663], [175.83906156786918, -39.337292988360915], [175.83077981143455, -39.83177414731691], [175.83082676624267, -39.831816043228166], [175.83086645513256, -39.831862146601296], [175.83088567454485, -39.83186518731405], [177.11383631776104, -39.83770025961583], [177.11389022862915, -39.837663627488425], [177.1139496980328, -39.83763246766105], [177.1139533530001, -39.837617731513], [177.1123582376416, -38.848403749812476], [177.11231125448447, -38.84836234524304], [177.11227120073525, -38.84831664836885], [177.11225223991823, -38.84831386992349], [175.84725883701023, -38.84267946656831], [175.8472050238124, -38.84271554322321], [175.8471458214206, -38.84274601359084], [175.84714293159237, -38.84275705980832]]]}",https://code.earthengine.google.com/?asset=COPERNICUS/S2_SR_HARMONIZED/20230209T221601_20230209T221603_T60HVB,,COPERNICUS/S2_SR_HARMONIZED,,,10.0,COPERNICUS/S2_SR_HARMONIZED,
sentinel2,SR,COPERNICUS/S2_SR_HARMONIZED/20230219T221601_20230219T221601_T60HVB,post,2023-02-19T22:16:55.376000+00:00,2023-02-20T11:16:55.376000+13:00,,,,,,,,1.84155,2671579.9647058756,0.9999945086773114,0.9999999999999984,"{""type"": ""Polygon"", ""coordinates"": [[[175.84714293159237, -38.84275705980832], [175.8471418381438, -38.84276832900663], [175.83906156786918, -39.337292988360915], [175.83077981143455, -39.83177414731691], [175.83082676624267, -39.831816043228166], [175.83086645513256, -39.831862146601296], [175.83088567454485, -39.83186518731405], [177.11383631776104, -39.83770025961583], [177.11389022862915, -39.837663627488425], [177.1139496980328, -39.83763246766105], [177.1139533530001, -39.837617731513], [177.1123582376416, -38.848403749812476], [177.11231125448447, -38.84836234524304], [177.11227120073525, -38.84831664836885], [177.11225223991823, -38.84831386992349], [175.84725883701023, -38.84267946656831], [175.8472050238124, -38.84271554322321], [175.8471458214206, -38.84274601359084], [175.84714293159237, -38.84275705980832]]]}",https://code.earthengine.google.com/?asset=COPERNICUS/S2_SR_HARMONIZED/20230219T221601_20230219T221601_T60HVB,,COPERNICUS/S2_SR_HARMONIZED,,,10.0,COPERNICUS/S2_SR_HARMONIZED,
landsat,SR,LANDSAT/LC08/C02/T1_L2/LC08_071087_20230119,pre,2023-01-19T21:54:22.796000+00:00,2023-01-20T10:54:22.796000+13:00,,,,,,,,21.21,258687.76862745147,0.9354899685677809,0.931532266715656,"{""type"": ""Polygon"", ""coordinates"": [[[176.60153346188574, -39.55179423327704], [176.60112175420565, -39.553352021814966], [176.60209037764147, -39.553731105707705], [176.63387057464954, -39.560060066759874], [178.70626843025013, -39.94948201193606], [178.7475003086142, -39.95676549797264], [178.74803780580547, -39.95653451859215], [178.99835222912236, -39.11024905332035], [179.24290789330078, -38.264324736698825], [179.24884533815924, -38.243456510729004], [179.24787223889174, -38.24309580839159], [179.24400143906945, -38.24234232218444], [179.04319466393179, -38.206280494278545], [177.1534663682422, -37.84812102786114], [177.15249677210966, -37.848122341221796], [177.15204491101488, -37.84884183718315], [177.0983127754644, -38.01791604483204], [177.00852969654912, -38.299424771849196], [176.7715305537186, -39.03375917187625], [176.63524452248407, -39.4491777897049], [176.60793165109126, -39.53207674529162], [176.60153346188574, -39.55179423327704]]]}",https://code.earthengine.google.com/?asset=LANDSAT/LC08/C02/T1_L2/LC08_071087_20230119,,LANDSAT/LC08/C02/T1_L2,,,30.0,LANDSAT/LC08/C02/T1_L2,
landsat,SR,LANDSAT/LC08/C02/T1_L2/LC08_071087_20230204,pre,2023-02-04T21:54:26.970000+00:00,2023-02-05T10:54:26.970000+13:00,,,,,,,,25.21,226234.14901960807,0.7621393164694734,0.9999999999999984,"{""type"": ""Polygon"", ""coordinates"": [[[176.56547627942348, -39.55433334408504], [176.5668408088552, -39.554691126415605], [176.63627161307704, -39.56844733965371], [176.83805425661694, -39.60809913900474], [178.36490659366888, -39.89535294822001], [178.67258149537216, -39.95051364013326], [178.71164601454913, -39.957426491768054], [178.7121287937953, -39.956236282114396], [178.96448517251662, -39.10258043915288], [179.2125948287501, -38.243635624194106], [179.19289912760507, -38.24007304401883], [178.927366168969, -38.192289798135704], [177.7052777642342, -37.963735286294636], [177.1166106682905, -37.84856203368167], [177.11385855219427, -37.857021877646105], [177.09823599584607, -37.90624813303674], [177.0819124122606, -37.957634801624934], [177.06352129421867, -38.01550924758426], [177.00166564123396, -38.20993107107736], [176.7333693329625, -39.04259950671899], [176.5958611365616, -39.46171593964449], [176.56547627942348, -39.55433334408504]]]}",https://code.earthengine.google.com/?asset=LANDSAT/LC08/C02/T1_L2/LC08_071087_20230204,,LANDSAT/LC08/C02/T1_L2,,,30.0,LANDSAT/LC08/C02/T1_L2,
landsat,SR,LANDSAT/LC09/C02/T1_L2/LC09_072087_20230203,pre,2023-02-03T22:00:44.789000+00:00,2023-02-04T11:00:44.789000+13:00,,,,,,,,41.41,277768.4039215676,0.9357483051033639,0.9999999999999984,"{""type"": ""Polygon"", ""coordinates"": [[[175.2365741041377, -38.845761801253175], [175.05625809766744, -39.39675067849705], [175.03340646464758, -39.46610174724241], [175.021947166396, -39.50131572070065], [175.0054818398431, -39.55239433692139], [175.00449556702262, -39.556121731174855], [175.01001499696184, -39.55729100392715], [176.88087637441737, -39.90927214973587], [177.11013817561712, -39.95009598508084], [177.1578941209945, -39.95851918674837], [177.158731391425, -39.95592237039592], [177.61857242184314, -38.38470866687436], [177.65833258708332, -38.244457118924075], [177.51478053332144, -38.21887933700107], [177.31859389539227, -38.183615670198456], [175.5565314718562, -37.85059620218597], [175.55578462034092, -37.85117040976981], [175.53875122790004, -37.90398125254225], [175.4619638099507, -38.14554819978163], [175.27727861474517, -38.720127931084285], [175.2365741041377, -38.845761801253175]]]}",https://code.earthengine.google.com/?asset=LANDSAT/LC09/C02/T1_L2/LC09_072087_20230203,,LANDSAT/LC09/C02/T1_L2,,,30.0,LANDSAT/LC09/C02/T1_L2,
landsat,SR,LANDSAT/LC08/C02/T1_L2/LC08_071087_20230220,post,2023-02-20T21:54:13.700000+00:00,2023-02-21T10:54:13.700000+13:00,,,,,,,,7.49,280896.1137254889,0.9936822936667944,0.95227857595191,"{""type"": ""Polygon"", ""coordinates"": [[[179.24110485993103, -38.243124465618834], [179.23978629828954, -38.24263565689463], [178.49984114266707, -38.107961447337544], [177.73772311060364, -37.963806765089004], [177.1458757659361, -37.84803727122772], [177.09821124048636, -37.9982148133566], [177.0550658050417, -38.133941475058585], [177.0078415723864, -38.2821210492508], [176.95732591116698, -38.44000978397541], [176.7659909522413, -39.03185585782395], [176.62967305228747, -39.447808707623125], [176.59808878661846, -39.543937565683564], [176.59483566807012, -39.55412652171656], [176.67072587474183, -39.56914722446529], [177.40689032178548, -39.7118386578993], [178.53600513860405, -39.92051095589629], [178.68761011854994, -39.947592985308894], [178.74001052890256, -39.95685575321395], [178.74056030986574, -39.95641575690156], [178.9934042208859, -39.100873093816716], [179.24110485993103, -38.243124465618834]]]}",https://code.earthengine.google.com/?asset=LANDSAT/LC08/C02/T1_L2/LC08_071087_20230220,,LANDSAT/LC08/C02/T1_L2,,,30.0,LANDSAT/LC08/C02/T1_L2,
landsat,SR,LANDSAT/LC08/C02/T1_L2/LC08_071087_20230308,post,2023-03-08T21:54:02.815000+00:00,2023-03-09T10:54:02.815000+13:00,,,,,,,,2.76,265203.549019608,0.9907688727106868,0.9017370159121806,"{""type"": ""Polygon"", ""coordinates"": [[[179.254977761261, -38.24406541368225], [179.25493875083228, -38.24280358542213], [179.24226931910772, -38.24049153725213], [178.8528172076694, -38.17024066722354], [177.90200577703325, -37.99267394528875], [177.15930498083372, -37.847977244859855], [177.15140184415353, -37.87291647875163], [177.10488101118045, -38.01953531845922], [177.06739257074972, -38.137449989173284], [177.01230554189573, -38.310239383302], [176.97795828747923, -38.41757500919082], [176.78125828699007, -39.0264787537484], [176.64114684861696, -39.45406190982069], [176.61561426238373, -39.53156184756742], [176.60885420613928, -39.55245789366693], [176.6088456654668, -39.553980235644104], [176.74798902511466, -39.58144801845527], [178.70579227065764, -39.94805291205915], [178.75480144576147, -39.956708780999314], [179.0073118895242, -39.10198597990169], [179.254977761261, -38.24406541368225]]]}",https://code.earthengine.google.com/?asset=LANDSAT/LC08/C02/T1_L2/LC08_071087_20230308,,LANDSAT/LC08/C02/T1_L2,,,30.0,LANDSAT/LC08/C02/T1_L2,
landsat,SR,LANDSAT/LC08/C02/T1_L2/LC08_071087_20230324,post,2023-03-24T21:53:54.397000+00:00,2023-03-25T10:53:54.397000+13:00,,,,,,,,7.37,254336.48627451016,0.9518980770869829,0.9000771258429134,"{""type"": ""Polygon"", ""coordinates"": [[[178.95399358800967, -38.18887574910963], [178.2324083592327, -38.055646004437925], [177.19884770237124, -37.85617310961548], [177.15940144054542, -37.84841749159962], [177.10899817757553, -38.007340676142405], [177.06568643974538, -38.14366970009536], [177.0119626909393, -38.312132068763646], [176.78160484866086, -39.026479387363615], [176.64149409463394, -39.45433343702465], [176.61596038030922, -39.53210366848848], [176.60872932751064, -39.554365115231136], [177.12994685314993, -39.65625464659574], [177.95494744456207, -39.812148732737604], [178.70304322554514, -39.94783566166], [178.75522369211004, -39.95705222466166], [179.00766628728525, -39.10225010192007], [179.25558800128033, -38.243118558168725], [179.2246993539149, -38.23758193436658], [178.95399358800967, -38.18887574910963]]]}",https://code.earthengine.google.com/?asset=LANDSAT/LC08/C02/T1_L2/LC08_071087_20230324,,LANDSAT/LC08/C02/T1_L2,,,30.0,LANDSAT/LC08/C02/T1_L2,
landsat,SR,LANDSAT/LC08/C02/T1_L2/LC08_072087_20230315,post,2023-03-15T22:00:12.506000+00:00,2023-03-16T11:00:12.506000+13:00,,,,,,,,23.13,282498.0941176463,0.951681721295273,0.9999999999999984,"{""type"": ""Polygon"", ""coordinates"": [[[175.05355363730013, -39.55400334585933], [175.05878165634462, -39.555108490447125], [176.930716911105, -39.908771931962164], [177.1997964350467, -39.956844476019036], [177.65344856244158, -38.40506694077845], [177.69365602968807, -38.26181064154906], [177.6989090027225, -38.242632901655305], [177.67638152125465, -38.238607823380754], [176.61197006810576, -38.043079448262475], [175.6051474735661, -37.84826246042732], [175.60460632226338, -37.84908954431392], [175.59883370067504, -37.86658806951624], [175.5930332233143, -37.884635049263274], [175.57378626319672, -37.94503170868383], [175.52021216962459, -38.113552983033976], [175.32371391030034, -38.726479950923434], [175.27263195585257, -38.884145563794576], [175.2513074749718, -38.94978567315341], [175.11602213781623, -39.3636769798149], [175.05523871941674, -39.54814280350218], [175.05355363730013, -39.55400334585933]]]}",https://code.earthengine.google.com/?asset=LANDSAT/LC08/C02/T1_L2/LC08_072087_20230315,,LANDSAT/LC08/C02/T1_L2,,,30.0,LANDSAT/LC08/C02/T1_L2,
landsat,SR,LANDSAT/LC09/C02/T1_L2/LC09_071087_20230228,post,2023-02-28T21:54:20.133000+00:00,2023-03-01T10:54:20.133000+13:00,,,,,,,,36.95,5555.450980392156,0.018871441845882405,0.9917372071149454,"{""type"": ""Polygon"", ""coordinates"": [[[178.7342681624848, -39.95799368703941], [178.73563970520289, -39.95797310678057], [178.9882790672533, -39.10366368294081], [179.23654099418167, -38.24450402264135], [179.23556135998376, -38.24414076764465], [179.0870305178442, -38.217674018295675], [177.51751295013693, -37.925504975320266], [177.25688704700352, -37.874717881455574], [177.13316819791635, -37.85041441103306], [177.13245583835757, -37.85154814852238], [177.08791676999343, -37.99176954269875], [177.0020097870487, -38.26157279471273], [176.7556160162441, -39.02507613408464], [176.61641389190115, -39.44965785730189], [176.5926325783066, -39.521751787160355], [176.58445649067926, -39.54659279643124], [176.58144251760768, -39.55602633113697], [176.9243559991267, -39.62305461458373], [178.44902380211218, -39.90730586732995], [178.7342681624848, -39.95799368703941]]]}",https://code.earthengine.google.com/?asset=LANDSAT/LC09/C02/T1_L2/LC09_071087_20230228,,LANDSAT/LC09/C02/T1_L2,,,30.0,LANDSAT/LC09/C02/T1_L2,
